time_s,energy_Jkg,dE_rel
5150.0,-29188081.76372115,5.537888627236928e-13
5160.0,-29188081.763720784,5.662966545068046e-13
5170.0,-29188081.763720647,5.710189840575713e-13
5180.0,-29188081.76372088,5.629782607684279e-13
5190.0,-29188081.76372115,5.537888627236928e-13
5200.0,-29188081.763721384,5.457481394345496e-13
5210.0,-29188081.76372153,5.408981793553838e-13
5220.0,-29188081.7637209,5.623401081264325e-13
5230.0,-29188081.763721235,5.508533605705135e-13
5240.0,-29188081.763721965,5.258377770042902e-13
5250.0,-29188081.76372229,5.148615515619675e-13
5260.0,-29188081.76372257,5.051616314036359e-13
5270.0,-29188081.763722803,4.971209081144926e-13
5280.0,-29188081.763722293,5.146062905051693e-13
5290.0,-29188081.76372088,5.629782607684279e-13
5300.0,-29188081.763720628,5.716571366995667e-13
5310.0,-29188081.76372056,5.740821167391496e-13
5320.0,-29188081.763719887,5.970556118509875e-13
5330.0,-29188081.763720177,5.871004306358578e-13
5340.0,-29188081.763719782,6.006292666461625e-13
5350.0,-29188081.763720267,5.840372979542794e-13
5360.0,-29188081.763719987,5.93609587584212e-13
5370.0,-29188081.76371919,6.209225206616192e-13
5380.0,-29188081.763718963,6.287079828939642e-13
5390.0,-29188081.76371872,6.371315977683048e-13
5400.0,-29188081.763719343,6.156896689972561e-13
5410.0,-29188081.7637188,6.343237261435246e-13
5420.0,-29188081.76371847,6.455552126426454e-13
